out_ph_range
---------------------------
19287...{'ionic strength': '0.05', 'ph': '3.0', 'pressure': '1', 'temperature': '295'}
19327...{'ionic strength': '-1', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
19356...{'ionic strength': '50.000', 'ph': '2.500', 'pressure': '1.000', 'temperature': '318.000'}
19372...{'ionic strength': '-1', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
19379...{'ionic strength': '0.01', 'ph': '4.7', 'pressure': '1', 'temperature': '318'}
19428...{'ionic strength': '10', 'ph': '8.7', 'pressure': '1', 'temperature': '283'}
19429...{'ionic strength': '10', 'ph': '8.7', 'pressure': '1', 'temperature': '283'}
19450...{'ionic strength': '-1', 'ph': '4.8', 'pressure': '1', 'temperature': '293'}
19459...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '310'}
19489...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '313'}
19531...{'ionic strength': '20', 'ph': '4.5', 'pressure': '1', 'temperature': '318'}
19532...{'ionic strength': '20', 'ph': '4.5', 'pressure': '1', 'temperature': '318'}
19535...{'ionic strength': '20', 'ph': '3.5', 'pressure': '1', 'temperature': '313'}
19542...{'ionic strength': '-1', 'ph': '3.6', 'pressure': '1', 'temperature': '298'}
19577...{'ionic strength': '-1', 'ph': '4.8', 'pressure': '-1', 'temperature': '273'}
19578...{'ionic strength': '-1', 'ph': '4.8', 'pressure': '-1', 'temperature': '273'}
19585...{'ionic strength': '0.1', 'ph': '4.5', 'pressure': '1', 'temperature': '310'}
19587...{'ionic strength': '-1', 'ph': '4.8', 'pressure': '-1', 'temperature': '273'}
19693...{'ionic strength': '0', 'ph': '4', 'pressure': '1', 'temperature': '298'}
19700...{'ionic strength': '0.01', 'ph': '3.0', 'pressure': '1', 'temperature': '313'}
19707...{'ionic strength': '0.05', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
19750...{'ionic strength': '0.05', 'ph': '4.0', 'pressure': '1', 'temperature': '310'}
19759...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1', 'temperature': '273'}
19782...{'ionic strength': '20', 'ph': '4.3', 'pressure': '1', 'temperature': '273'}
19832...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '298'}
19833...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '298'}
19875...{'ionic strength': '150', 'ph': '4.0', 'pressure': '1', 'temperature': '298'}
19962...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '313'}
19966...{'ionic strength': '0.02', 'ph': '4.5', 'pressure': '1', 'temperature': '303'}
